description_string,description_list
"at every turn, we're pushing back on house republicans' lies, chaos, and obstruction designed to prop up donald trump and his campaign. that’s why we’re on the front lines every single day defending our democracy and national security, which much prevail. watch more here ⤴️","['at', 'every', 'turn', 'were', 'pushing', 'back', 'on', 'house', 'republicans', 'lies', 'chaos', 'and', 'obstruction', 'designed', 'to', 'prop', 'up', 'donald', 'trump', 'and', 'his', 'campaign', 'thats', 'why', 'were', 'on', 'the', 'front', 'lines', 'every', 'single', 'day', 'defending', 'our', 'democracy', 'and', 'national', 'security', 'which', 'much', 'prevail', 'watch', 'more', 'here']"
"another day, another house gop impeachment hearing, which means more trafficking in russian disinformation designed to prop up trump’s 2024 campaign.","['another', 'day', 'another', 'house', 'gop', 'impeachment', 'hearing', 'which', 'means', 'more', 'trafficking', 'in', 'russian', 'disinformation', 'designed', 'to', 'prop', 'up', 'trumps', 'campaign']"
everyone’s a lobo! i want to wishmen’s basketball team the best of luck today at the ncaa tournament! make new mexico proud! ♥️🐺🐾🐾,"['everyones', 'a', 'lobo', 'i', 'want', 'to', 'wishmens', 'basketball', 'team', 'the', 'best', 'of', 'luck', 'today', 'at', 'the', 'ncaa', 'tournament', 'make', 'new', 'mexico', 'proud']"
we’re gearing up for a big week in dc—including a blockbuster hearing in oversight once again involving former president trump and his attempts to influence the election. tune in! we’ll be there defending our democracy. 💪🏻,"['were', 'gearing', 'up', 'for', 'a', 'big', 'week', 'in', 'dcincluding', 'a', 'blockbuster', 'hearing', 'in', 'oversight', 'once', 'again', 'involving', 'former', 'president', 'trump', 'and', 'his', 'attempts', 'to', 'influence', 'the', 'election', 'tune', 'in', 'well', 'be', 'there', 'defending', 'our', 'democracy']"
"drum roll please! introducing our guest for the state of the union: dr. destinie marquez! dr. marquez is an obgyn at unm who focuses on reproductive rights, addressing social disparities affecting patient health, and advocating for her patients at a legislative level for better healthcare.","['drum', 'roll', 'please', 'introducing', 'our', 'guest', 'for', 'the', 'state', 'of', 'the', 'union', 'dr', 'destinie', 'marquez', 'dr', 'marquez', 'is', 'an', 'obgyn', 'at', 'unm', 'who', 'focuses', 'on', 'reproductive', 'rights', 'addressing', 'social', 'disparities', 'affecting', 'patient', 'health', 'and', 'advocating', 'for', 'her', 'patients', 'at', 'a', 'legislative', 'level', 'for', 'better', 'healthcare']"
big news on this eve of the state of the union. major budget deal and funding for new mexico!,"['big', 'news', 'on', 'this', 'eve', 'of', 'the', 'state', 'of', 'the', 'union', 'major', 'budget', 'deal', 'and', 'funding', 'for', 'new', 'mexico']"
"it’s our bodies, and our rights.and we will fight like hell to protect our rights to control our own bodies!","['its', 'our', 'bodies', 'and', 'our', 'rightsand', 'we', 'will', 'fight', 'like', 'hell', 'to', 'protect', 'our', 'rights', 'to', 'control', 'our', 'own', 'bodies']"
my hot take on today’s deposition in oversight ⤴️,"['my', 'hot', 'take', 'on', 'todays', 'deposition', 'in', 'oversight']"
"right now, i'm walking into hunter biden's closed door deposition called by the gop as part of their continued smoke and mirrors in their sham impeachment inquiry.","['right', 'now', 'im', 'walking', 'into', 'hunter', 'bidens', 'closed', 'door', 'deposition', 'called', 'by', 'the', 'gop', 'as', 'part', 'of', 'their', 'continued', 'smoke', 'and', 'mirrors', 'in', 'their', 'sham', 'impeachment', 'inquiry']"
we’ve got quite the week ahead of us in congress: another potential government shutdown and more impeachment efforts based on russian disinformation.,"['weve', 'got', 'quite', 'the', 'week', 'ahead', 'of', 'us', 'in', 'congress', 'another', 'potential', 'government', 'shutdown', 'and', 'more', 'impeachment', 'efforts', 'based', 'on', 'russian', 'disinformation']"
"every work period, i love meeting with nm small businesses to talk about how congress can help them grow and thrive. today as part of black history month, we stopped at nexus brewery to eat some of my favorite new mexican soul food and chat with owner ken carson about how we can help support our amazing family-owned businesses.","['every', 'work', 'period', 'i', 'love', 'meeting', 'with', 'nm', 'small', 'businesses', 'to', 'talk', 'about', 'how', 'congress', 'can', 'help', 'them', 'grow', 'and', 'thrive', 'today', 'as', 'part', 'of', 'black', 'history', 'month', 'we', 'stopped', 'at', 'nexus', 'brewery', 'to', 'eat', 'some', 'of', 'my', 'favorite', 'new', 'mexican', 'soul', 'food', 'and', 'chat', 'with', 'owner', 'ken', 'carson', 'about', 'how', 'we', 'can', 'help', 'support', 'our', 'amazing', 'familyowned', 'businesses']"
"alentines for veterans! ❤️one of my favorite traditions is delivering valentine’s day cards to our veterans from elementary school kids in the district!  this morning, we stopped by kirtland elementary to pick up cards and delivered them to the abq va!","['alentines', 'for', 'veterans', 'one', 'of', 'my', 'favorite', 'traditions', 'is', 'delivering', 'valentines', 'day', 'cards', 'to', 'our', 'veterans', 'from', 'elementary', 'school', 'kids', 'in', 'the', 'district', 'this', 'morning', 'we', 'stopped', 'by', 'kirtland', 'elementary', 'to', 'pick', 'up', 'cards', 'and', 'delivered', 'them', 'to', 'the', 'abq', 'va']"
"happy lunar new year and year of the dragon!this holiday is a chance to reset and reconnect.to all who are celebrating, i hope you have a wonderful new year full of celebrations with loved ones—and of course lots of delicious food. 🐉🐉","['happy', 'lunar', 'new', 'year', 'and', 'year', 'of', 'the', 'dragonthis', 'holiday', 'is', 'a', 'chance', 'to', 'reset', 'and', 'reconnectto', 'all', 'who', 'are', 'celebrating', 'i', 'hope', 'you', 'have', 'a', 'wonderful', 'new', 'year', 'full', 'of', 'celebrations', 'with', 'loved', 'onesand', 'of', 'course', 'lots', 'of', 'delicious', 'food']"
"today, the house voted on a bill that directly undermines our progress in lowering prescription drug costs for american families.my constituents sent me to congress to lower drug prices, not increase them, which is why i voted no.","['today', 'the', 'house', 'voted', 'on', 'a', 'bill', 'that', 'directly', 'undermines', 'our', 'progress', 'in', 'lowering', 'prescription', 'drug', 'costs', 'for', 'american', 'familiesmy', 'constituents', 'sent', 'me', 'to', 'congress', 'to', 'lower', 'drug', 'prices', 'not', 'increase', 'them', 'which', 'is', 'why', 'i', 'voted', 'no']"
we just took two votes on two political ploys by the house gop leadership to play politics with our national security. both were voted down. i will not allow extremists to win.,"['we', 'just', 'took', 'two', 'votes', 'on', 'two', 'political', 'ploys', 'by', 'the', 'house', 'gop', 'leadership', 'to', 'play', 'politics', 'with', 'our', 'national', 'security', 'both', 'were', 'voted', 'down', 'i', 'will', 'not', 'allow', 'extremists', 'to', 'win']"
voted yes to bring back the child tax credit.these payments will lift millions of children out of poverty and provide a crucial lifeline to families struggling to make ends meet.,"['voted', 'yes', 'to', 'bring', 'back', 'the', 'child', 'tax', 'creditthese', 'payments', 'will', 'lift', 'millions', 'of', 'children', 'out', 'of', 'poverty', 'and', 'provide', 'a', 'crucial', 'lifeline', 'to', 'families', 'struggling', 'to', 'make', 'ends', 'meet']"
"instead of working to fix our broken immigration system, the house gop is playing political games on the floor. make no mistake, trump and house republicans would rather see our communities suffer than offer real solutions. it is appalling.","['instead', 'of', 'working', 'to', 'fix', 'our', 'broken', 'immigration', 'system', 'the', 'house', 'gop', 'is', 'playing', 'political', 'games', 'on', 'the', 'floor', 'make', 'no', 'mistake', 'trump', 'and', 'house', 'republicans', 'would', 'rather', 'see', 'our', 'communities', 'suffer', 'than', 'offer', 'real', 'solutions', 'it', 'is', 'appalling']"
let me be clear: new mexico is not a nuclear dumping ground.republicans may try to silence me but i’ll never stop fighting to keep our communities safe.,"['let', 'me', 'be', 'clear', 'new', 'mexico', 'is', 'not', 'a', 'nuclear', 'dumping', 'groundrepublicans', 'may', 'try', 'to', 'silence', 'me', 'but', 'ill', 'never', 'stop', 'fighting', 'to', 'keep', 'our', 'communities', 'safe']"
seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  ,"['seeking', 'asylum', 'is', 'a', 'human', 'right', 'seeking', 'asylum', 'is', 'a', 'human', 'right', 'seeking', 'asylum', 'is', 'a', 'human', 'right', 'seeking', 'asylum', 'is', 'a', 'human', 'right', 'seeking', 'asylum', 'is', 'a', 'human', 'right']"
"this week, house republicans are bringing two anti-choice bills to the floor.they claim these bills support women but in reality they are thinly veiled attempts to restrict and stigmatize abortion care.","['this', 'week', 'house', 'republicans', 'are', 'bringing', 'two', 'antichoice', 'bills', 'to', 'the', 'floorthey', 'claim', 'these', 'bills', 'support', 'women', 'but', 'in', 'reality', 'they', 'are', 'thinly', 'veiled', 'attempts', 'to', 'restrict', 'and', 'stigmatize', 'abortion', 'care']"
"house republicans are using the gavel in the oversight committee to revive trump’s horrific immigration policies.as a country made up of immigrants, we need bipartisan immigration reform that doesn’t demonize those trying to seek a better life.","['house', 'republicans', 'are', 'using', 'the', 'gavel', 'in', 'the', 'oversight', 'committee', 'to', 'revive', 'trumps', 'horrific', 'immigration', 'policiesas', 'a', 'country', 'made', 'up', 'of', 'immigrants', 'we', 'need', 'bipartisan', 'immigration', 'reform', 'that', 'doesnt', 'demonize', 'those', 'trying', 'to', 'seek', 'a', 'better', 'life']"
"thousands of pages of evidence. testimony from special counsel, u.s. attorneys, doj officials, the fbi, irs, financial advisors, friends and business partners. the gop’s own expert witnesses even said there wasn’t sufficient evidence to support an impeachment hearing on president biden.","['thousands', 'of', 'pages', 'of', 'evidence', 'testimony', 'from', 'special', 'counsel', 'us', 'attorneys', 'doj', 'officials', 'the', 'fbi', 'irs', 'financial', 'advisors', 'friends', 'and', 'business', 'partners', 'the', 'gops', 'own', 'expert', 'witnesses', 'even', 'said', 'there', 'wasnt', 'sufficient', 'evidence', 'to', 'support', 'an', 'impeachment', 'hearing', 'on', 'president', 'biden']"
"new year, same drama.the gop is still infighting, they're now voting to hold hunter biden in contempt of congress—even though he has *repeatedly* offered to testify publicly before the oversight committee.","['new', 'year', 'same', 'dramathe', 'gop', 'is', 'still', 'infighting', 'theyre', 'now', 'voting', 'to', 'hold', 'hunter', 'biden', 'in', 'contempt', 'of', 'congresseven', 'though', 'he', 'has', 'repeatedly', 'offered', 'to', 'testify', 'publicly', 'before', 'the', 'oversight', 'committee']"
"it's been three years since trump and maga extremists led an insurrection at the capitol on jan 6. at every turn, trump has tried to undermine and overturn our democracy for personal gain.","['its', 'been', 'three', 'years', 'since', 'trump', 'and', 'maga', 'extremists', 'led', 'an', 'insurrection', 'at', 'the', 'capitol', 'on', 'jan', 'at', 'every', 'turn', 'trump', 'has', 'tried', 'to', 'undermine', 'and', 'overturn', 'our', 'democracy', 'for', 'personal', 'gain']"
"a couple of days ago,refused to take public testimony from hunter biden. what are they so afraid of??? ohhhhh, right….their own members and experts have already debunked the lies and said there’s no evidence there.","['a', 'couple', 'of', 'days', 'agorefused', 'to', 'take', 'public', 'testimony', 'from', 'hunter', 'biden', 'what', 'are', 'they', 'so', 'afraid', 'of', 'ohhhhh', 'righttheir', 'own', 'members', 'and', 'experts', 'have', 'already', 'debunked', 'the', 'lies', 'and', 'said', 'theres', 'no', 'evidence', 'there']"
"we did it! i have spent the last two days thinking about how grateful i am to have such resounding support from y’all, georgia’s! 87% of the voters are standing with us fighting","['we', 'did', 'it', 'i', 'have', 'spent', 'the', 'last', 'two', 'days', 'thinking', 'about', 'how', 'grateful', 'i', 'am', 'to', 'have', 'such', 'resounding', 'support', 'from', 'yall', 'georgias', 'of', 'the', 'voters', 'are', 'standing', 'with', 'us', 'fighting']"
may 24th is the primarygeorgia! polls are open 7am-7pm! be like city of decatur mayor protemand go!,"['may', 'th', 'is', 'the', 'primarygeorgia', 'polls', 'are', 'open', 'ampm', 'be', 'like', 'city', 'of', 'decatur', 'mayor', 'protemand', 'go']"
"have you voted??? atlanta mayorhas a message for you.is tuesday, may 24th. what’s your voting plan?","['have', 'you', 'voted', 'atlanta', 'mayorhas', 'a', 'message', 'for', 'youis', 'tuesday', 'may', 'th', 'whats', 'your', 'voting', 'plan']"
"with less than a week left until election day, i’m so excited to be out here again knocking on doors and talking to voters in.i hope i can count on you to do the same! mobilize.us/marieforcongress","['with', 'less', 'than', 'a', 'week', 'left', 'until', 'election', 'day', 'im', 'so', 'excited', 'to', 'be', 'out', 'here', 'again', 'knocking', 'on', 'doors', 'and', 'talking', 'to', 'voters', 'ini', 'hope', 'i', 'can', 'count', 'on', 'you', 'to', 'do', 'the', 'same', 'mobilizeusmarieforcongress']"
watch & share: joe kent doesn’t want voters to know he supports a national ban on abortion. but washington women won’t be fooled.,"['watch', 'share', 'joe', 'kent', 'doesnt', 'want', 'voters', 'to', 'know', 'he', 'supports', 'a', 'national', 'ban', 'on', 'abortion', 'but', 'washington', 'women', 'wont', 'be', 'fooled']"
my shop’s been broken into 4 times this year. i like it when i call and the police show up. safe streets are a priority of mine.joe kent has a different priority. he wants to defund washington’s police departments and send our tax dollars elsewhere ⤵️,"['my', 'shops', 'been', 'broken', 'into', 'times', 'this', 'year', 'i', 'like', 'it', 'when', 'i', 'call', 'and', 'the', 'police', 'show', 'up', 'safe', 'streets', 'are', 'a', 'priority', 'of', 'minejoe', 'kent', 'has', 'a', 'different', 'priority', 'he', 'wants', 'to', 'defund', 'washingtons', 'police', 'departments', 'and', 'send', 'our', 'tax', 'dollars', 'elsewhere']"
"i'm definitely not your typical candidate for congress. and right now, the only thing standing between joe kent and congress is me.","['im', 'definitely', 'not', 'your', 'typical', 'candidate', 'for', 'congress', 'and', 'right', 'now', 'the', 'only', 'thing', 'standing', 'between', 'joe', 'kent', 'and', 'congress', 'is', 'me']"
we need all hands on deck in these next couple weeks. there are canvassing shifts available every day until election day.go to mobilize.us/marieforcongress and sign up for 2 shifts right now!,"['we', 'need', 'all', 'hands', 'on', 'deck', 'in', 'these', 'next', 'couple', 'weeks', 'there', 'are', 'canvassing', 'shifts', 'available', 'every', 'day', 'until', 'election', 'daygo', 'to', 'mobilizeusmarieforcongress', 'and', 'sign', 'up', 'for', 'shifts', 'right', 'now']"
"ballots are arriving in mailboxes, and if you’re as fired up as i am about protecting mail-in voting then join me tomorrow at esther short park – sign up here: https://mobilize.us/s/dk6ro3","['ballots', 'are', 'arriving', 'in', 'mailboxes', 'and', 'if', 'youre', 'as', 'fired', 'up', 'as', 'i', 'am', 'about', 'protecting', 'mailin', 'voting', 'then', 'join', 'me', 'tomorrow', 'at', 'esther', 'short', 'park', 'sign', 'up', 'here', 'httpsmobilizeussdkro']"
joe kent doesn’t believe women should control their own bodies. a national abortion ban would be devastating and dangerous for women in.,"['joe', 'kent', 'doesnt', 'believe', 'women', 'should', 'control', 'their', 'own', 'bodies', 'a', 'national', 'abortion', 'ban', 'would', 'be', 'devastating', 'and', 'dangerous', 'for', 'women', 'in']"
congress could use someone who actually knows how to fix things 🛠,"['congress', 'could', 'use', 'someone', 'who', 'actually', 'knows', 'how', 'to', 'fix', 'things']"
i’m running to be an independent voice who will get things done. top of my list:☑️protect reproductive rights☑️fight for working families in,"['im', 'running', 'to', 'be', 'an', 'independent', 'voice', 'who', 'will', 'get', 'things', 'done', 'top', 'of', 'my', 'listprotect', 'reproductive', 'rightsfight', 'for', 'working', 'families', 'in']"
climate change is bringing us more hot days 🔥 make sure you know how to check your coolant to save yourself some ⏰ and 💵,"['climate', 'change', 'is', 'bringing', 'us', 'more', 'hot', 'days', 'make', 'sure', 'you', 'know', 'how', 'to', 'check', 'your', 'coolant', 'to', 'save', 'yourself', 'some', 'and']"
so much fun at thr skamania county parade and fair yesterday!,"['so', 'much', 'fun', 'at', 'thr', 'skamania', 'county', 'parade', 'and', 'fair', 'yesterday']"
get your ballots in by 8 pm on august 2nd!,"['get', 'your', 'ballots', 'in', 'by', 'pm', 'on', 'august', 'nd']"
"alright, constituent services may not be the most exciting content.. but that doesn’t mean they aren’t important!our office was awarded ✨best in congress✨ for all the ways we help the people of chester and berks counties in pennsylvania. here are just some examples of what your member of congress can do for you.","['alright', 'constituent', 'services', 'may', 'not', 'be', 'the', 'most', 'exciting', 'content', 'but', 'that', 'doesnt', 'mean', 'they', 'arent', 'importantour', 'office', 'was', 'awarded', 'best', 'in', 'congress', 'for', 'all', 'the', 'ways', 'we', 'help', 'the', 'people', 'of', 'chester', 'and', 'berks', 'counties', 'in', 'pennsylvania', 'here', 'are', 'just', 'some', 'examples', 'of', 'what', 'your', 'member', 'of', 'congress', 'can', 'do', 'for', 'you']"
"we tried something new yesterday! as a congresswoman, i always get questions about what my day looks like. so, we have an inside look on my instagram story. if you haven’t had a chance yet to check it out—here’s a little preview.","['we', 'tried', 'something', 'new', 'yesterday', 'as', 'a', 'congresswoman', 'i', 'always', 'get', 'questions', 'about', 'what', 'my', 'day', 'looks', 'like', 'so', 'we', 'have', 'an', 'inside', 'look', 'on', 'my', 'instagram', 'story', 'if', 'you', 'havent', 'had', 'a', 'chance', 'yet', 'to', 'check', 'it', 'outheres', 'a', 'little', 'preview']"
breaking down the latest on the competes act - schoolhouse rock style:,"['breaking', 'down', 'the', 'latest', 'on', 'the', 'competes', 'act', 'schoolhouse', 'rock', 'style']"
election day is in two weeks!,"['election', 'day', 'is', 'in', 'two', 'weeks']"
i just dropped off my ballot for the november 2 election! make your plan to vote today at vote.pa.gov 🗳,"['i', 'just', 'dropped', 'off', 'my', 'ballot', 'for', 'the', 'november', 'election', 'make', 'your', 'plan', 'to', 'vote', 'today', 'at', 'votepagov']"
first ever job fair calls for our first tiktok 💁‍♀️,"['first', 'ever', 'job', 'fair', 'calls', 'for', 'our', 'first', 'tiktok']"
has always stood up for a woman’s right to choose.,"['has', 'always', 'stood', 'up', 'for', 'a', 'womans', 'right', 'to', 'choose']"
democracy is on the ballot.,"['democracy', 'is', 'on', 'the', 'ballot']"
got her start in politics when a male legislator told her she couldn’t make a difference because she was “just a mom in tennis shoes.” 👟,"['got', 'her', 'start', 'in', 'politics', 'when', 'a', 'male', 'legislator', 'told', 'her', 'she', 'couldnt', 'make', 'a', 'difference', 'because', 'she', 'was', 'just', 'a', 'mom', 'in', 'tennis', 'shoes']"
patty is the fighter we all need for working families!,"['patty', 'is', 'the', 'fighter', 'we', 'all', 'need', 'for', 'working', 'families']"
you heard it from doug—we need to send patty back to the senate!,"['you', 'heard', 'it', 'from', 'dougwe', 'need', 'to', 'send', 'patty', 'back', 'to', 'the', 'senate']"
listen to alexis! abortion is on the ballot — everyone needs to!,"['listen', 'to', 'alexis', 'abortion', 'is', 'on', 'the', 'ballot', 'everyone', 'needs', 'to']"
this first-time voter and brand new citizen is excited about patty—and so are we!,"['this', 'firsttime', 'voter', 'and', 'brand', 'new', 'citizen', 'is', 'excited', 'about', 'pattyand', 'so', 'are', 'we']"
politicians shouldn’t be telling you what to do with your body. we have toto protect our right to choose.,"['politicians', 'shouldnt', 'be', 'telling', 'you', 'what', 'to', 'do', 'with', 'your', 'body', 'we', 'have', 'toto', 'protect', 'our', 'right', 'to', 'choose']"
ballots are out inand we all need to!,"['ballots', 'are', 'out', 'inand', 'we', 'all', 'need', 'to']"
think a maga republican can’t win in washington state? think again. there’s too much at stake to sit this year out.,"['think', 'a', 'maga', 'republican', 'cant', 'win', 'in', 'washington', 'state', 'think', 'again', 'theres', 'too', 'much', 'at', 'stake', 'to', 'sit', 'this', 'year', 'out']"
tell all your friends to vote — there’s no time to waste!,"['tell', 'all', 'your', 'friends', 'to', 'vote', 'theres', 'no', 'time', 'to', 'waste']"
vote for patty and she’ll keep working to ban assault weapons and pass background checks.,"['vote', 'for', 'patty', 'and', 'shell', 'keep', 'working', 'to', 'ban', 'assault', 'weapons', 'and', 'pass', 'background', 'checks']"
is 100% pro-choice. full stop. abortion is on the ballot this november.,"['is', 'prochoice', 'full', 'stop', 'abortion', 'is', 'on', 'the', 'ballot', 'this', 'november']"
is here and hurting washington state families and our economy.is tackling it head on.,"['is', 'here', 'and', 'hurting', 'washington', 'state', 'families', 'and', 'our', 'economyis', 'tackling', 'it', 'head', 'on']"
listen to!is in this fight for all of us — and we’re in this fight for her! ballots are out —now!,"['listen', 'tois', 'in', 'this', 'fight', 'for', 'all', 'of', 'us', 'and', 'were', 'in', 'this', 'fight', 'for', 'her', 'ballots', 'are', 'out', 'now']"
"whenandtell you to, they mean it! vote now — there’s so much at stake in this election!","['whenandtell', 'you', 'to', 'they', 'mean', 'it', 'vote', 'now', 'theres', 'so', 'much', 'at', 'stake', 'in', 'this', 'election']"
&together in washington reminding students to.,"['together', 'in', 'washington', 'reminding', 'students', 'to']"
met up for a cup of coffee at analog coffee—a hometown shop in the thriving capitol hill community!,"['met', 'up', 'for', 'a', 'cup', 'of', 'coffee', 'at', 'analog', 'coffeea', 'hometown', 'shop', 'in', 'the', 'thriving', 'capitol', 'hill', 'community']"
patty murray is a pro-choice champion! she won’t stop until women everywhere get to make their own health care decisions.,"['patty', 'murray', 'is', 'a', 'prochoice', 'champion', 'she', 'wont', 'stop', 'until', 'women', 'everywhere', 'get', 'to', 'make', 'their', 'own', 'health', 'care', 'decisions']"
patty murray is a true leader for washington state. let’s send her back to the senate this november.,"['patty', 'murray', 'is', 'a', 'true', 'leader', 'for', 'washington', 'state', 'lets', 'send', 'her', 'back', 'to', 'the', 'senate', 'this', 'november']"
"republicans want to ban abortion everywhere, including in wa state. they’ll have to go through patty murray first.","['republicans', 'want', 'to', 'ban', 'abortion', 'everywhere', 'including', 'in', 'wa', 'state', 'theyll', 'have', 'to', 'go', 'through', 'patty', 'murray', 'first']"
"republicans are coming for women’s rights everywhere, even in blue states. vote pro-choice this november.","['republicans', 'are', 'coming', 'for', 'womens', 'rights', 'everywhere', 'even', 'in', 'blue', 'states', 'vote', 'prochoice', 'this', 'november']"
"republicans want to ban abortion everywhere, including here in wa. we need a pro-choice leader to protect our rights. we need patty murray.","['republicans', 'want', 'to', 'ban', 'abortion', 'everywhere', 'including', 'here', 'in', 'wa', 'we', 'need', 'a', 'prochoice', 'leader', 'to', 'protect', 'our', 'rights', 'we', 'need', 'patty', 'murray']"
"happy birthday, president obama!","['happy', 'birthday', 'president', 'obama']"
it’s official: we are full steam ahead to november!,"['its', 'official', 'we', 'are', 'full', 'steam', 'ahead', 'to', 'november']"
